comparison_row,case_id
0,-1003358831658393077
1,-1013831220015814987
2,-1022162013984621110
3,-1031911667791094656
4,-1033431645373513522
5,-1061801124542504778
6,-1127347074157114394
7,-113091225230567987
8,-1148272184782133632
9,-1186785859296268316
10,-1255305323698889844
11,-1302658650662297368
12,-1364647863765645582
13,-1378709613121042762
14,-1381447668976406600
15,-1390386660930294961
16,-1401882893833923465
17,-1410373638686722492
18,-147708187468899383
19,-1499518133606453111
20,-150838352918869442
21,-1571750243156555704
22,-1587438555169083999
23,-1595867844041726825
24,-1596197624011855985
25,-1616454963494052359
26,-1650964543725469791
27,-167378004455290906
28,-1721193395195371413
29,-172847504564561903
30,-1733088243273090927
31,-1733892733234992438
32,-1739997494738345481
33,-1763853739567713066
34,-177741761654665523
35,-1816252377879876704
36,-1843438970712066693
37,-1868963273118308625
38,-1884386860080869294
39,-1909214615567585672
40,-194017562508969044
41,-1942650442362782039
42,-1981350712289441637
43,-1989306803632942402
44,-2003651929853335958
45,-2009076901863769058
46,-2021623206586982766
47,-2025662459941441200
48,-2051529073502780670
49,-2079383910052664228
50,-2087328523973467169
51,-2088606867004492139
52,-2091950744963898567
53,-2095672275036950296
54,-2110024220741452514
55,-2117370401055716418
56,-2124276015150406331
57,-2151981460582938737
58,-2157254992256757926
59,-2234159851162385941
60,-2268566413642379377
61,-2299953912359834796
62,-2305175233838037269
63,-2375843028488783684
64,-2397769908121479148
65,-2398320529907536007
66,-2424847738526446604
67,-2451133106015456592
68,-2458386020616457489
69,-2472582145754793649
70,-247428263627831494
71,-2476666525066355593
72,-2498171137102779325
73,-2514467038397595743
74,-2532399363694021270
75,-2658310133261964243
76,-2683650026574626295
77,-2704067241457051662
78,-272905418481506543
79,-2752892469117874055
80,-2777977347055512440
81,-2783613313320624421
82,-2825268606715146676
83,-2839256645523105018
84,-2926740329983193648
85,-2941189066721502335
86,-2971165393662420783
87,-2973481794307902887
88,-2993747088586116770
89,-3009021159089591187
90,-3080746527613964567
91,-3154952215641996585
92,-3165884193421554204
93,-3182809862860496086
94,-3208362477794549016
95,-3235011894410927150
96,-3254428368288170569
97,-3264520064072087921
98,-3272749801664805139
99,-3274313382260132631
100,-3319916890048474709
101,-3364861318434448691
102,-3368700702387238612
103,-3409164447306126047
104,-3435649364043344228
105,-3446760660757496198
106,-3451055451466346496
107,-3465753245040059951
108,-3474834728281297218
109,-3508263302029113573
110,-3546401502157145072
111,-361434018046650255
112,-362162726839954708
113,-3686427836208036381
114,-3709647468490574581
115,-3736850922923665026
116,-3754475935354644970
117,-3761516173022305921
118,-3768594983498155183
119,-3794873461762905046
120,-3810890554448335645
121,-3865684081418033870
122,-3871839807525937167
123,-3916369382395560410
124,-392005153369306689
125,-3986748508757622431
126,-401375748979711136
127,-4046670466073814031
128,-405175861936400543
129,-4056611902312817215
130,-4058464818092242774
131,-408534567856996060
132,-408774889650325500
133,-4101417443465145950
134,-4151350569016626448
135,-416553236304446649
136,-4170682922251092655
137,-4201974541515122921
138,-4208839889358323211
139,-4224434040130136903
140,-4244106461387893359
141,-4299406694606216536
142,-4330087889722072975
143,-4354725697473998962
144,-4365582927344192621
145,-4431962068713879149
146,-4461661482364232184
147,-4504942680169931051
148,-4523074077849670027
149,-45293678358413706
150,-4534768867628142547
151,-4572573838215927835
152,-4573383150487721045
153,-457463002444974882
154,-4603590259708776060
155,-4701177369365447845
156,-4706983603646247130
157,-4721978287978346730
158,-4730197130348721884
159,-4745465191557253889
160,-4752985713674166359
161,-4757279327143309522
162,-479916690694777966
163,-4835629016710326461
164,-4863956147628945574
165,-4918969743870820961
166,-4941904797314668780
167,-4961646511590674396
168,-4998326269769441287
169,-4999461920169777167
170,-5082848560372092470
171,-5083690954535815004
172,-5110480118605969654
173,-5122446773279036270
174,-5156504397670032550
175,-5172588623366516741
176,-5180174733769372566
177,-5242570046602320422
178,-5256429932634187395
179,-5257206505787653259
180,-5259460570876140361
181,-5290023226334382045
182,-5292831202834374226
183,-5306092307392700103
184,-5350220404862050225
185,-5376888133703495985
186,-5378921138821203077
187,-5380195615141921084
188,-5382881724534486828
189,-5386109097423705653
190,-5393258047036880335
191,-5394780874354078799
192,-5409557810550060682
193,-5439131303742560915
194,-5449466016955373228
195,-545007797193276281
196,-5453455096954781425
197,-5482041191223063337
198,-5509136872198304738
199,-5526745907203879535
200,-5530479155432265675
201,-5536464459584180926
202,-5544919736541720663
203,-5585920928490955201
204,-5618669967128742094
205,-5669428885075492527
206,-5715460582418154283
